id,movieid,imdbid,kewords,synopsis
414,377,111257,bus  bomb  explosive  rescue  elevator  lapd  freeway  terrorist  swat-team  police  bomb-squad  hostage  reference-to-sex  badge  police-badge  camera  latex-gloves  knife-stabbed-in-neck  knife  train-hijack  hijacker  hijacking  hijack  box-office-hit,In a downtown office building  an express elevator's cables are blown  and 13 people are trapped inside Los Angeles Police dispatch their men  including Officer Jack Traven Keanu Reeves and Detective Harry Temple Jeff Daniels Capt McMahon Joe Morton brief
553,474,107206,president  secret-service  secret-service-agent  assassin  apartment  cia  white-house  stalking  election  running  guilt  chase  undercover  government  assassination  homemade-weapon  blood-splatter  die-hard-scenario  american-president  political-cov,Frank Horrigan Clint Eastwood is a Secret Service agent who is close to retirement age When the story opens  he's waiting for a pickup from his new partner  Al D'Andrea Dylan McDermott They drive to a marina just outside of Washington DC to meet with a co
747,265,103994,marriage  mexico  pubic-hair  male-pubic-hair  erotica  male-nudity  love  wedding  wedding-cake  cooking  vomiting  20th-century  19th-century  magical-realism  wooden-spoon  widower  wet-nurse  wedding-night  wedding-invitation  wedding-banquet  water,Set in Mexico in 1910Tita Lumi Cavazos and Rosaura Yareli Arizmendi live with their mother  Mam Elena Regina Torn The mother has decided that Tita must stay single to take care of her when she becomes an old woman Tita accepts her fate  although she's in
1059,451,106926,baby  girl-in-a-cake  derelict-house  condom  vending-machine  home-invasion  father-son-incest  stealing-from-a-dead-body  sex  texas  nudity  dyed-chicken  gun  black-eye  chicken  murder  dog  child-murder  small-town  motel  independent-film,While helping his grifter father burgle a house in rural Texas  young Arlis Sweeney watches him murder the entire family  leaving only a crying baby Fast forward 30 years Arlis has settled into a bleak routine restocking vending machines on a route that i
1780,222,112679,circle-of-friends  1950s  ireland  student  three-word-title  coming-of-age  abortion  pregnancy  sex  love  moral  based-on-novel  independent-film,This is a charming romance about three girls from an Irish village whose coming of age happens as they all attend college in Dublin not long after WWII Seemingly unmarriageable Benny is the daughter of a wealthy shopkeeper mortified by the attentions of h
2610,1042,117887,band  pennsylvania  song  jazz  drummer  appliance-store  manager  written-and-directed-by-cast-member  snorricam  exclamation-point-in-title  usa  teen-angst  rock-music  music-business  what-happened-to-epilogue  television-studio  illness  recording-st,The film follows the career of the Erie  Pennsylvania  rock band that formed in the middle of the Britsih Invasion following the Beatles success Guy Patterson  son of a local appliance store owner and a good drummer who idolizes jazz  is involved in a sha
2638,1184,102426,greek-island  mediterranean-sea  island  soldier  italian  sea  beauty  turcophobia  anti-turkism  italian-occupation  italian-soldier  italian-history  sex  sea-islands  soccer  sergeant  post-world-war-two  italian-army  friendship  female-nudity  fall-,n 1941  one year after Italy joined Germany against the Allies in World War II  a small group of misfit Italian soldiers is sent to a small Greek island in the Aegean Sea for four months of lookout duty The soldiers include a lieutenant who likes art  a m
2716,486,107413,child  child-act  brother  talent-agency  pickpocket  child-actor  10-year-old  casting-agency  casting-agent  walkman  receptionist  stealing-a-wallet  ribbon-cutting  hockey-puck  neighbor  smoking  television-show  secretary  cookie-company  contract,Michael Chapman was a star before  his Life with Mikey TV was famous but as his age grew  people began to lose interest on Michael Chapman and that TV Michael decided to resign and become a kid star He began to request kids to perform to find a kid to dev
2780,144,112585,loss-of-father  critically-acclaimed  abusive-father  love  true-love  marriage  irish-catholic  catholic  screenwriter  religion  long-island  irish  low-budget-film  sex-talk  modern-love  guilt  funeral  condom  writer  sex  profanity  fear-of-commitme,The film begins with Finbar Barry McMullen Edward Burns standing at the grave of his recently deceased father  along with his mother  who tells him that she's returning to her native Ireland to be with Finbar O'Shaughnessy after whom Barry is named  her s
3316,1,114709,rivalry  toy  cowboy  jealousy  claw-crane  enemies-become-friends  boy-next-door  piggy-bank  friend  bloopers-during-credits  cgi-film  cult-film  boy  birthday  new-toy  moving  birthday-party  spaceman  fight  action-figure  little-boy  friends-who-li,A boy called Andy Davis voice John Morris uses his toys to act out a bank robbery The bank is a cardboard box  the robber is Mr Potato Head voice Don Rickles assisted by Slinky Dog voice Jim Varney  and the bystanders include Bo Peep voice Annie Potts and
